#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
69,"Happy Ending","MIKA",64,96,"","","Life In Cartoon Motion",2007-02-05,04:33,56,44,55,0,31,0,20,-8,C♯/D♭,4,2022-02-14,0TzbmxnYrlMV6dEln2l9nb,"Casablanca Records/Island UK",3B,USC7R0600016
70,"Hit Me Up","Gia Farrell",38,102,"","","Hit Me Up (94491-6)",2006-10-24,03:15,77,86,0,0,67,20,0,-5,D,4,2022-02-14,1qUaoh5GvkRPYTdASkvf2b,"Lava/Atlantic",10B,USAT20621605
71,"Here I Am","Natalie Gauci",13,80,"","","The Winner's Journey",2007-12-08,03:46,38,45,11,0,23,0,20,-5,A#/B♭,4,2022-02-14,71e9ipM4JVNOa2PpeIU7Yr,"Sony BMG Music Entertainment",6B,AUBM00700935
72,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",76,79,"","","The Papercut Chronicles",2005-02-22,04:03,72,74,24,0,62,10,20,-7,C♯/D♭ minor,4,2022-02-14,2Lhdl74nwwVGOE2Gv35QuK,"Decaydance/Fueled By Ramen/ATL",12A,US56V0407211
73,"Just A Song About Ping Pong","Operator Please",30,136,"","","Yes Yes Vindictive",2007-01-01,02:18,45,81,0,0,62,0,20,-5,A minor,4,2022-02-14,0ir2oAMNqklGn60XP4Pgeu,"Virgin Records",8A,AUOY10700046
74,"Better Than Me","Hinder",64,140,"post-grunge","Rock","Extreme Behavior",2005-01-01,03:43,45,68,21,0,25,0,10,-5,D minor,4,2022-02-14,10fddGyyeUquZZ2uPTjD7P,"Universal Records",7A,USUM70503176
75,"LoveStoned / I Think She Knows (Interlude)","Justin Timberlake",58,121,"","","FutureSex/LoveSounds",2006-09-12,07:24,86,68,34,0,85,0,20,-6,C♯/D♭,4,2022-02-14,5iyE2d4U3Vc5cqY9mPTlpy,"Jive",3B,USJI10600495
76,"1973","James Blunt",72,123,"","","All the Lost Souls",2007-09-05,04:40,72,67,7,1,77,0,0,-8,A,4,2022-02-14,1BV0m40U0M4t1SLIsDnwZl,"Custard/Atlantic",11B,USAT20703782
77,"Joker And The Thief","Wolfmother",60,155,"stoner rock","Rock","Wolfmother",2005-10-31,04:40,26,78,5,2,46,0,30,-3,C,4,2022-02-14,2yoCk1xYdULGPV1143r7CB,"Modular",8B,AUUM70500115
78,"Untouched","The Veronicas",62,177,"","","Hook Me Up",2007-10-30,04:15,56,78,2,2,44,20,10,-5,F#/G♭ minor,4,2022-02-14,0KlahhzNb98zyN83Vwae0l,"Sire/Warner Records",11A,USWB10704602
79,"4 In The Morning","Gwen Stefani",41,92,"","","The Sweet Escape",2006-12-01,04:51,70,83,20,0,50,0,10,-6,A#/B♭,4,2022-02-14,2eCKUg5OQfDzT5IaN0CA3U,"Interscope",6B,USUM70618695
80,"It's Not Over","Daughtry",51,146,"","","Daughtry",2006-11-20,03:35,43,92,6,0,30,0,20,-3,A#/B♭ minor,4,2022-02-14,0wIhWLNLIOmzQ89B3rtTd3,"RCA Records Label",3A,GBCTA0600228
81,"2 Hearts","Kylie Minogue",22,112,"dance pop","Electronic, Pop","X",2007-11-21,02:51,67,62,0,0,49,0,0,-5,G minor,4,2022-02-14,6WzLKctOOeLdAFn1FjZ7f6,"WM Australia",6A,GBAYE0702916
82,"Too Little Too Late","JoJo",2,82,"","","The High Road",2006-10-17,03:41,42,80,1,0,73,0,0,-5,F#/G♭ minor,4,2022-02-14,4T4NLIMypdmyUwK54jECk4,"Blackground Records, LLC",11A,USUYG1352918
