#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
42,"Who's That Girl?","Eurythmics, Annie Lennox, Dave Stewart",35,120,"new wave, synthpop","Pop, Rock, Electronic","Greatest Hits",1991-02-28,03:46,71,43,56,0,59,0,0,-13,C minor,4,2022-02-14,5MmVdHW1rAg64iW8Hl5ByO,"RCA Records Label",5A,GBARL8300005
43,"Whatcha Say","Jason Derulo",77,144,"","","Jason Derulo (International)",2010-02-26,03:41,62,71,4,0,71,0,10,-6,B,4,2022-02-14,7xkQdy0cy5ymoWT7nedvLz,"Beluga Heights/Warner Records",1B,USWB10901504
44,"Magic (feat. Rivers Cuomo)","B.o.B, Rivers Cuomo",65,82,"","","B.o.B Presents: The Adventures of Bobby Ray",2010-04-27,03:16,55,93,1,0,79,30,30,-4,G#/A♭ minor,4,2022-02-14,5uHYcK0nbEYgRaFTY5BqnP,"Rebel Rock/Grand Hustle/Atlantic",1A,USAT21000545
45,"Take It Off","Kesha",73,125,"","","Animal (Expanded Edition)",2010-01-01,03:35,73,68,0,0,74,0,0,-5,F minor,4,2022-02-14,0WCiI0ddWiu5F2kSHgfw5S,"RCA Records Label",4A,USRC10900736
46,"Little Lion Man","Mumford & Sons",53,139,"folk, indie folk, folk rock","Folk, Rock","Sigh No More",2010-01-01,04:07,52,49,3,0,48,0,0,-8,F,4,2022-02-14,37jCwWbb32w46aS5pKZZbe,"Universal Music Australia Pty. Ltd.",7B,GBUM70909097
47,"Plans","Birds Of Tokyo",54,103,"","","Birds Of Tokyo",2010-07-23,03:38,61,60,4,0,28,0,30,-9,A#/B♭,3,2022-02-14,1TZGMJxT3gPDkwZyfcc9ED,"Capitol Records",6B,AUYO01000023
48,"Just Say So","Brian McFadden, Kevin Rudolf",29,126,"","","Wall Of Soundz",2010-01-01,03:16,58,87,5,0,57,0,20,-6,C,3,2022-02-14,0ydftCuqBxNoFTx3BVtEc2,"Universal Music Australia Pty. Ltd.",8B,AUUM71000441
49,"Nothin' on You (feat. Bruno Mars)","B.o.B, Bruno Mars",83,104,"","","B.o.B Presents: The Adventures of Bobby Ray",2010-04-27,04:28,69,85,39,0,74,0,0,-6,A#/B♭,4,2022-02-14,59dLtGBS26x7kc0rHbaPrq,"Rebel Rock/Grand Hustle/Atlantic",6B,USAT20904033
50,"Alejandro","Lady Gaga",75,99,"art pop, pop","Pop","The Fame Monster (Deluxe Edition)",2009-08-05,04:34,63,80,0,0,37,0,30,-7,B minor,4,2022-02-14,4lwavw59UjXUPJZtKNdFYp,"Interscope",10A,USUM70905526
51,"Your Love Is My Drug","Kesha",78,120,"","","Animal (Expanded Edition)",2010-01-01,03:07,83,61,1,0,76,10,0,-4,C♯/D♭,4,2022-02-14,6vc2Jq2vaGu8z326kSrw92,"RCA Records Label",3B,USRC10900735
