#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
21,"Where Have You Been","Rihanna",24,128,"","","Talk That Talk (Deluxe Explicit)",2011-01-01,04:02,72,85,0,2,44,0,20,-6,C minor,4,2024-08-11,72MrzrTEnNx8XRaWi2tOmq,"Def Jam Recordings",5A,USUM71118074
22,"Everybody Talks","Neon Trees",48,155,"","","Picture Show (Deluxe Edition)",2012-01-01,02:57,47,92,0,0,72,0,30,-4,G#/A♭,4,2024-08-11,1akkzUk0nUq90X56xDVGHZ,"Mercury Records",4B,USUM71119189
23,"Take Care","Drake, Rihanna",77,122,"rap","Hip Hop","Take Care (Deluxe)",2011-11-15,04:37,63,52,3,0,30,20,0,-10,C minor,4,2024-08-11,124NFj84ppZ5pAxTuVQYCQ,"Cash Money Records/Young Money Ent./Universal Rec.",5A,USCM51100547
24,"Titanium (feat. Sia)","David Guetta, Sia",72,126,"edm","Electronic","Nothing but the Beat 2.0",2011-08-24,04:05,60,79,7,15,30,10,10,-4,C minor,4,2024-08-11,0lHAMNU8RGiIObScrsRgmP,"Parlophone (France)",5A,GB28K1100036
25,"I Won't Give Up","Jason Mraz",70,133,"soft pop, acoustic pop","Folk, Pop","Love Is a Four Letter Word (Deluxe Edition)",2012-04-13,04:00,48,30,69,0,14,0,10,-10,E,3,2024-08-11,53QF56cjZA9RTuuMZDrSA6,"Atlantic Records",12B,USEE11100768
26,"It Will Rain","Bruno Mars",41,150,"","","The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack)",2011-11-04,04:17,58,84,34,0,48,0,0,-7,D,4,2024-08-11,7L90qWedLcA3188xOku316,"Chop Shop/Atlantic",10B,USAT21102075
27,"Mercy.1","Kanye West, Big Sean, Pusha T, 2 Chainz",54,140,"rap, southern hip hop","Hip Hop","Kanye West Presents Good Music Cruel Summer",2012-01-01,05:26,56,64,6,0,50,40,30,-6,F#/G♭ minor,4,2024-08-11,671XaUBmifTMXDbZK5CB1M,"Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ",11A,USUM71210090
28,"Boyfriend","Justin Bieber",61,97,"","","Believe (Deluxe Edition)",2012-06-15,02:51,72,55,4,0,33,0,10,-6,A#/B♭ minor,4,2024-08-11,2L7rZWg9RLxIwnysmxm4xk,"RBMG/Def Jam",3A,USUM71202650
29,"Party Rock Anthem","LMFAO, Lauren Bennett, GoonRock",36,130,"","","Sorry For Party Rocking (Deluxe Version)",2011-01-01,04:22,75,74,2,0,36,10,20,-4,F minor,4,2019-09-18,7FwaX3u4lo5wqF2mdHQlsC,"Will I Am / A&M",4A,USUM71100061
30,"Too Close","Alex Clare",59,126,"","","The Lateness Of The Hour",2011-00-00,04:16,58,71,1,0,29,0,10,-4,B minor,4,2019-09-18,4sK96UnGx3NjBaqvfTG2dm,"Universal-Island Records Ltd.",10A,GBUM71101222
