artist_norm,track_norm,peak_position,first_week,last_week,weeks_on,genre,track_id,artist_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,inverse_rank,top10,release_q,recession_t,event_time_k
alicia keys,superwoman,82,2008-09-27,2008-11-08,7,R&B,694V3efHIeLmVRZIDMGc4O,57.0,0.267,0.408,274107.0,0.494,0.00285,C,0.11,-8.291,Major,0.0476,161.698,4/4,0.136,19,0,2008Q3,1,3
alicia keys,superwoman,82,2008-09-27,2008-11-08,7,Soul,694V3efHIeLmVRZIDMGc4O,57.0,0.267,0.408,274107.0,0.494,0.00285,C,0.11,-8.291,Major,0.0476,161.698,4/4,0.136,19,0,2008Q3,1,3
alicia keys,teenage love affair,54,2008-05-24,2008-09-06,16,R&B,34ClgyHf8Awds1ew9vMX26,53.0,0.632,0.636,190200.0,0.826,0.0,B,0.197,-4.668,Major,0.162,87.665,4/4,0.679,47,0,2008Q2,1,2
alicia keys,teenage love affair,54,2008-05-24,2008-09-06,16,Soul,34ClgyHf8Awds1ew9vMX26,53.0,0.632,0.636,190200.0,0.826,0.0,B,0.197,-4.668,Major,0.162,87.665,4/4,0.679,47,0,2008Q2,1,2
alicia keys,try sleeping with a broken heart,27,2009-12-05,2010-04-17,20,R&B,1yK9LISg5uBOOW5bT2Wm0i,62.0,0.158,0.496,249013.0,0.82,0.246,F,0.13,-5.155,Major,0.112,110.977,5/4,0.549,74,0,2009Q4,0,8
alicia keys,try sleeping with a broken heart,27,2009-12-05,2010-04-17,20,Soul,1yK9LISg5uBOOW5bT2Wm0i,62.0,0.158,0.496,249013.0,0.82,0.246,F,0.13,-5.155,Major,0.112,110.977,5/4,0.549,74,0,2009Q4,0,8
alicia keys,unbreakable,34,2005-10-01,2006-02-04,19,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,67,0,2005Q4,0,-8
all time low,damned if i do ya,67,2009-07-04,2009-07-04,1,Rock,7LcNhnWCI9w9ivknoSqtvK,54.0,0.00635,0.554,187000.0,0.902,0.0,E,0.328,-4.018,Major,0.0569,126.022,4/4,0.657,34,0,2009Q3,0,7
alvin and the chipmunks,bad day,67,2008-01-12,2008-01-19,2,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,34,0,2008Q1,1,1
alvin and the chipmunks,funkytown,86,2008-01-12,2008-01-19,2,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,15,0,2008Q1,1,1
alvin and the chipmunks,the chipmunk song,66,2008-01-05,2008-01-12,2,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,35,0,2008Q1,1,1
alvin and the chipmunks featuring chris classic,witch doctor,62,2008-01-12,2008-01-26,3,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,39,0,2008Q1,1,1
aly aj,chemicals react,50,2006-09-30,2006-10-21,4,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,51,0,2006Q3,0,-5
aly aj,greatest time of year,96,2006-12-09,2006-12-09,1,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,5,0,2006Q4,0,-4
aly aj,like whoa,63,2008-02-09,2008-04-05,8,Dance,44e84JcEUfOs9cNGu8nwU5,52.0,0.0124,0.7,150827.0,0.831,0.000966,F#,0.0949,-4.931,Major,0.0681,121.003,4/4,0.808,38,0,2008Q1,1,1
aly aj,potential breakup song,17,2007-07-14,2007-11-10,17,Dance,11dxtPJKR4E0wlSr0A0t47,62.0,0.00112,0.57,219773.0,0.886,0.00739,F#,0.594,-4.145,Minor,0.044,158.035,4/4,0.805,84,0,2007Q3,0,-1
aly aj,potential breakup song,17,2007-07-14,2007-11-10,17,Pop,11dxtPJKR4E0wlSr0A0t47,62.0,0.00112,0.57,219773.0,0.886,0.00739,F#,0.594,-4.145,Minor,0.044,158.035,4/4,0.805,84,0,2007Q3,0,-1
aly aj,rush,59,2006-03-04,2006-05-13,11,Dance,1dpXikU9kSyxm1mKulwHws,48.0,0.0189,0.551,191733.0,0.825,3.96e-05,D,0.132,-5.108,Minor,0.0422,129.971,4/4,0.18,42,0,2006Q1,0,-7
american idol top 8,shout to the lord,43,2008-04-26,2008-04-26,1,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,58,0,2008Q2,1,2
amy winehouse,rehab,9,2007-03-31,2007-09-15,20,Soul,1L5tZi0izXsi5Kk5OJf4W0,74.0,0.0473,0.434,213760.0,0.872,1.83e-06,C,0.396,-2.974,Major,0.0702,71.515,4/4,0.732,92,1,2007Q1,0,-3
